sample_id,predicted_probability,predicted_label,feature_rule,weight
2,0.42058758098798205,1,household_members <= 4.00,-0.028008801633774272
2,0.42058758098798205,1,5.00 < drinking_water_source <= 8.00,-0.022585570385040894
2,0.42058758098798205,1,6.00 < cooking_fuel <= 10.00,0.020254200787165895
2,0.42058758098798205,1,8.00 < toilet_facility <= 10.00,-0.01794605231056275
2,0.42058758098798205,1,1.00 < mother_education_level <= 2.00,0.01651214105369714
3,0.7186978141325516,1,mother_years_education <= 0.00,0.1654833515151433
3,0.7186978141325516,1,47.00 < child_age_months <= 53.00,0.09302637890221069
3,0.7186978141325516,1,1.00 < wealth_quintile <= 2.00,0.07971292923273171
3,0.7186978141325516,1,0.00 < child_sex <= 1.00,0.046319231584278996
3,0.7186978141325516,1,mother_currently_working <= 0.00,0.0363956842535005
3,0.7186978141325516,1,has_electricity <= 0.00,0.022242924999534456
3,0.7186978141325516,1,6.00 < cooking_fuel <= 10.00,0.01838203315641589
3,0.7186978141325516,1,5.00 < drinking_water_source <= 8.00,-0.015290392517109902
3,0.7186978141325516,1,8.00 < toilet_facility <= 10.00,-0.013237600212067305
3,0.7186978141325516,1,11.00 < county <= 23.00,0.00677739948403991
4,0.8466284598364496,1,mother_years_education <= 0.00,0.17327829145589854
4,0.8466284598364496,1,1.00 < wealth_quintile <= 2.00,0.0785493079387947
4,0.8466284598364496,1,child_sex <= 0.00,-0.048471854173213105
4,0.8466284598364496,1,mother_currently_working <= 0.00,0.033250387511553244
4,0.8466284598364496,1,toilet_facility <= 8.00,0.02959588464093539
4,0.8466284598364496,1,23.00 < county <= 36.00,-0.021897786852069435
4,0.8466284598364496,1,6.00 < cooking_fuel <= 10.00,0.01910253527785923
4,0.8466284598364496,1,5.00 < drinking_water_source <= 8.00,-0.018749921581497582
4,0.8466284598364496,1,has_electricity <= 0.00,0.018728994009427735
4,0.8466284598364496,1,41.00 < child_age_months <= 47.00,0.018310299858140207
5,0.40835236460746865,1,2.00 < wealth_quintile <= 3.00,-0.08887561331702849
5,0.40835236460746865,1,47.00 < child_age_months <= 53.00,0.08796788186375276
5,0.40835236460746865,1,0.00 < child_sex <= 1.00,0.041207036253189104
5,0.40835236460746865,1,0.00 < mother_currently_working <= 1.00,-0.033040832250888746
5,0.40835236460746865,1,0.00 < has_electricity <= 1.00,-0.017849821880497403
5,0.40835236460746865,1,6.00 < mother_years_education <= 17.00,-0.015353812095510892
5,0.40835236460746865,1,1.00 < mother_education_level <= 2.00,0.013832584378494234
5,0.40835236460746865,1,30.00 < mother_age <= 35.00,0.013284863944425037
5,0.40835236460746865,1,8.00 < toilet_facility <= 10.00,-0.012681894500579613
5,0.40835236460746865,1,marital_status <= 2.00,-0.011823509563896134
6,0.38007714849220253,0,child_age_months <= 41.00,-0.10130310206929113
6,0.38007714849220253,0,mother_years_education > 17.00,-0.053625194067849505
6,0.38007714849220253,0,0.00 < child_sex <= 1.00,0.04382885858709214
6,0.38007714849220253,0,wealth_quintile <= 1.00,0.03870650376276172
6,0.38007714849220253,0,mother_currently_working <= 0.00,0.03825107111369448
6,0.38007714849220253,0,county > 36.00,0.026222886454317522
6,0.38007714849220253,0,6.00 < cooking_fuel <= 10.00,0.02552308459596625
6,0.38007714849220253,0,toilet_facility <= 8.00,0.024090838817059437
6,0.38007714849220253,0,has_electricity <= 0.00,0.01919674788721587
6,0.38007714849220253,0,household_members <= 4.00,-0.015032106520088557
7,0.3033627652325632,0,0.00 < mother_years_education <= 6.00,-0.11110133253094524
7,0.3033627652325632,0,child_age_months <= 41.00,-0.10077847303579353
7,0.3033627652325632,0,2.00 < wealth_quintile <= 3.00,-0.0886618241478709
7,0.3033627652325632,0,child_sex <= 0.00,-0.04380895455788386
7,0.3033627652325632,0,mother_currently_working <= 0.00,0.03752905986524817
7,0.3033627652325632,0,mother_education_level > 2.00,-0.024326304647433395
7,0.3033627652325632,0,0.00 < has_electricity <= 1.00,-0.02300635240001545
