sample_index,child_age_months,child_sex,mother_age,mother_education_level,mother_years_education,mother_currently_working,marital_status,religion,wealth_quintile,urban_rural,county,drinking_water_source,toilet_facility,has_electricity,cooking_fuel,household_members,predicted_probability,actual_label
131,0.35132197,-0.09753237,0.037292834,0.15458913,0.5221009,-0.059357755,0.0016034241,0.025880134,0.24522668,-0.0025761337,-0.39462388,-0.027448375,0.06225552,0.002926319,0.051600892,0.017731916,0.7099999,1
352,0.44330478,0.10535055,0.06401704,0.00028365786,-0.22091359,0.07032098,0.029825173,-0.091144145,0.09688113,0.004125814,0.4874293,-0.0968533,-0.11454748,0.019190138,0.15114677,-0.045376822,0.71247447,1
211,-0.3569095,-0.06712186,-0.029670259,0.14983621,0.7329877,0.07860784,-0.0037923392,0.052347284,0.27265364,0.0077272295,-0.3148539,-0.0053820764,-0.13953966,0.06636769,0.013386806,0.0009534112,0.61348635,0
215,-0.26681176,0.1407618,0.24873064,-0.03312246,-0.005585216,-0.08043463,0.2717189,-0.08585972,0.33576226,0.032610137,0.2542094,0.02442573,0.0041906135,0.06519349,0.02299067,0.36925372,0.7862431,1
84,0.58068085,0.17101078,0.15467587,0.15978615,0.7352629,0.05974823,0.010168431,0.061254084,0.25836504,0.0025238278,-0.28026062,-0.08364678,0.30739528,-0.009897101,0.054400604,0.21439011,0.9168463,1
329,0.18913361,-0.18095516,-0.029164432,0.12110482,0.91845244,0.10001674,0.005480029,0.017828912,-0.50565445,0.016428674,0.6108329,0.17308502,-0.12789033,-0.0328174,0.020787718,0.13458295,0.8077794,1
532,0.039954334,-0.17378363,0.20441844,-0.04156796,-0.0475398,-0.036103927,0.011084364,-0.11728831,0.24267377,0.008882929,-0.064165175,-0.09486876,-0.097409874,-0.08482658,0.029178312,0.17638744,0.4898558,0
10,-0.10755077,-0.11643281,0.20406693,0.15371887,0.6504389,-0.12228862,-0.0041045714,0.035257187,0.27690598,0.005370854,0.15892774,-0.13374639,0.14247902,0.07313736,0.021196572,0.063636124,0.78674316,1
78,-0.7723731,-0.06651085,-0.21966547,-0.04655035,-0.28419396,0.1488067,-0.0008284063,-0.04344616,0.22405359,-0.01874853,-0.1487048,0.12267571,0.06544178,0.02452382,0.034456365,-0.03685917,0.26628947,0
393,-0.25686505,0.09153527,-0.18429892,-0.12527268,-0.6838566,0.034040686,0.009907875,-0.11973755,0.062007416,0.02398994,-0.15486641,0.061296303,-0.0314056,-0.17224614,0.014938724,-0.057014126,0.18490621,0
